2025-02-17 01:05:48 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h8m15s625ms618µs).
2025-02-17 01:08:55 INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-02-17 01:08:55 INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-02-17 01:08:55 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-17 01:08:55 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-17 01:09:00 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-02-17 01:09:00 INFO  com.easycom.EasyComApplication - Starting EasyComApplication using Java 17.0.5 with PID 19004 (F:\git_clone\together\easycom\target\classes started by luzhihuan in F:\git_clone\together\easycom)
2025-02-17 01:09:00 INFO  com.easycom.EasyComApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-17 01:09:00 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-17 01:09:00 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-02-17 01:09:00 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-02-17 01:09:01 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 6061 (http)
2025-02-17 01:09:01 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-6061"]
2025-02-17 01:09:01 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-02-17 01:09:01 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-02-17 01:09:01 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-02-17 01:09:01 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1080 ms
2025-02-17 01:09:01 INFO  org.redisson.Version - Redisson 3.22.0
2025-02-17 01:09:02 INFO  org.redisson.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 8.138.88.141/8.138.88.141:6379
2025-02-17 01:09:02 INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for 8.138.88.141/8.138.88.141:6379
2025-02-17 01:09:02 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-6061"]
2025-02-17 01:09:02 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 6061 (http) with context path '/api'
2025-02-17 01:09:02 INFO  com.easycom.EasyComApplication - Started EasyComApplication in 2.995 seconds (process running for 3.654)
2025-02-17 01:09:02 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-17 01:09:07 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@12b66c89
2025-02-17 01:09:07 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-17 01:09:08 INFO  com.easycom.InitRun - 服务端启动成功！端口号: 6061
